inchikey,kegg_id,kegg_drug_id
InChIKey=IPCSVZSSVZVIGE-UHFFFAOYSA-N,C00249,D05341
InChIKey=RADKZDMFGJYCBB-UHFFFAOYSA-N,C00250,
InChIKey=WTFXTQVDAKGDEY-HTQZYQBOSA-N,C00251,
InChIKey=DLRVVLDZNNYCBX-RTPHMHGBSA-N,C00252,
InChIKey=PVNIIMVLHYAWGP-UHFFFAOYSA-N,C00253,D00049
InChIKey=FPWMCUPFBRFMLH-XGAOUMNUSA-N,C00254,
InChIKey=AUNGANRZJHBGPY-SCRDCRAPSA-N,C00255,D00050
InChIKey=JVTAAEKCZFNVCJ-UWTATZPHSA-N,C00256,
InChIKey=RGHNJXZEOKUKBD-SQOUGZDYSA-N,C00257,
InChIKey=RBNPOMFGQQGHHO-UWTATZPHSA-N,C00258,
InChIKey=SRBFZHDQGSBBOR-HWQSCIPKSA-N,C00259,
InChIKey=FDGQSTZJBFJUBT-UHFFFAOYSA-N,C00262,
InChIKey=UKAUYVFTDYCKQA-VKHMYHEASA-N,C00263,
InChIKey=VHJLVAABSRFDPM-IMJSIDKUSA-N,C00265,
InChIKey=WGCNASOHLSPBMP-UHFFFAOYSA-N,C00266,
InChIKey=WQZGKKKJIJFFOK-DVKNGEFBSA-N,C00267,
InChIKey=ZHQJVZLJDXWFFX-RPDRRWSUSA-N,C00268,
InChIKey=SQVRNKJHWKZAKO-LUWBGTNYSA-N,C00270,
InChIKey=FNKQXYHWGSIFBK-RPDRRWSUSA-N,C00272,D08505
InChIKey=AWQIYVPBMVSGCL-UHFFFAOYSA-N,C00273,
InChIKey=NBSCHQHZLSJFNQ-QTVWNMPRSA-N,C00275,
InChIKey=NGHMDNPXVRFFGS-IUYQGCFVSA-N,C00279,
InChIKey=AEMFNILZOJDQLW-QAGGRKNESA-N,C00280,D00051
InChIKey=UFHFLCQGNIYNRP-UHFFFAOYSA-N,C00282,
InChIKey=RWSOTUBLDIXVET-UHFFFAOYSA-N,C00283,
InChIKey=KCXVZYZYPLLWCC-UHFFFAOYSA-N,C00284,D00052
InChIKey=HAAZLUGHYHWQIW-KVQBGUIXSA-N,C00286,
InChIKey=BVKZGUZCCUSVTD-UHFFFAOYSA-M,C00288,
InChIKey=PXHVJJICTQNCMI-UHFFFAOYSA-N,C00291,
InChIKey=PAYRUJLWNCNPSJ-UHFFFAOYSA-N,C00292,
InChIKey=UGQMRVRMYYASKQ-KQYNXXCUSA-N,C00294,D00054
InChIKey=PXQPEWDEAKTCGB-UHFFFAOYSA-N,C00295,D00055
InChIKey=AAWZDTNXLSGCEK-WYWMIBKRSA-N,C00296,
InChIKey=DRTQHJPVMGBUCF-XVFCMESISA-N,C00299,
InChIKey=CVSVTCORWBXHQV-UHFFFAOYSA-N,C00300,
InChIKey=SRNWOUGRCWSEMX-KEOHHSTQSA-N,C00301,
InChIKey=WHUUTDBJXJRKMK-UHFFFAOYSA-N,C00302,D04341
InChIKey=ZDXPYRJPNDTMRX-UHFFFAOYSA-N,C00303,
InChIKey=JLVVSXFLKOJNIY-UHFFFAOYSA-N,C00305,
InChIKey=QXZGBUJJYSLZLT-FDISYFBBSA-N,C00306,
InChIKey=RZZPDXZPRHQOCG-OJAKKHQRSA-N,C00307,D00057
InChIKey=FSBIGDSBMBYOPN-VKHMYHEASA-N,C00308,
InChIKey=LQXVFWRQNMEDEE-ZZKAVYKESA-N,C00309,
InChIKey=LQXVFWRQNMEDEE-OVEKKEMJSA-N,C00310,
InChIKey=ODBLHEXUDAPZAU-UHFFFAOYSA-N,C00311,
