het_id,inchikey
082,InChIKey=FOYKYLQAKICGEN-AREMUKBSSA-N
084,InChIKey=QICPQLFMWYQJGX-SFHVURJKSA-N
085,InChIKey=FHYUGAJXYORMHI-UHFFFAOYSA-N
087,InChIKey=DDZQOAWVENUEIU-UHFFFAOYSA-N
088,InChIKey=FCSGTZIUJUNGAC-UHFFFAOYSA-N
08B,InChIKey=AUXATGQLTJKTRN-UHFFFAOYSA-N
08D,InChIKey=JLKIGFTWXXRPMT-UHFFFAOYSA-N
08E,InChIKey=XPHRQEMVNFKEIN-UHFFFAOYSA-N
08F,InChIKey=CDTLONANIBXQJQ-UHFFFAOYSA-N
08H,InChIKey=VREFGVBLTWBCJP-UHFFFAOYSA-N
08J,InChIKey=DDLIGBOFAVUZHB-UHFFFAOYSA-N
08K,InChIKey=UYIVCPRWMLOCSB-UHFFFAOYSA-N
08L,InChIKey=LHFIQSGZMYMEJJ-SCQOSXKUSA-N
08M,InChIKey=GJGIGJGNECGMMN-ZETCQYMHSA-N
08P,InChIKey=JOFZGZRXVKSFKN-UWTATZPHSA-N
08Q,InChIKey=NNHLQGCWACQGSN-AEJSXWLSSA-N
08R,InChIKey=CNZPKQOAIMARQF-FXAWDEMLSA-N
08S,InChIKey=XDXFUKUYVISSEI-UHFFFAOYSA-N
08T,InChIKey=WOGYHYSOODLXII-KWIZKVQNSA-J
08W,InChIKey=HFRCANFHOYZAQE-UHFFFAOYSA-N
08X,InChIKey=WWKVFSPICQNZHM-ILFUNVDESA-N
08Y,InChIKey=OZVBMTJYIDMWIL-AYFBDAFISA-N
090,InChIKey=UPKZCDMMPFGKML-UHFFFAOYSA-N
091,InChIKey=FQSHLSLQUHZOMV-LLVKDONJSA-N
092,InChIKey=WBRZAMFFUKWSQR-ZWNOBZJWSA-N
093,InChIKey=JFVNFXCESCXMBC-UHFFFAOYSA-N
094,InChIKey=PZUXNWPJBLCJKB-UHFFFAOYSA-N
095,InChIKey=HIOAPSYSJQPIRC-RHSMWYFYSA-N
096,InChIKey=XIVRJFPRMXOMLE-HSZRJFAPSA-N
097,InChIKey=OCSMOTCMPXTDND-OUAUKWLOSA-N
098,InChIKey=UACUZULRKJKTHE-CZYKHXBRSA-N
099,InChIKey=VXDKQRWTOJFQKH-BJZITVGISA-N
09A,InChIKey=WDDNNMQSTPFSMZ-VQIMIIECSA-N
09B,InChIKey=QVGGPTMZUCXDDT-YLJYHZDGSA-N
09C,InChIKey=OXVVLWOQGFZGEO-OALUTQOASA-N
09D,InChIKey=OPUJSFZMYKHRTH-LLGFUMIMSA-N
09E,InChIKey=AENVIUXFIDGFED-LLGFUMIMSA-N
09F,InChIKey=VRCMTLQTPNLTIN-DNVCBOLYSA-N
09G,InChIKey=DJYALAFSFGHFLN-YLJYHZDGSA-N
09H,InChIKey=WRGSHXQBWJUKQD-UHFFFAOYSA-N
09J,InChIKey=JCOILWGRHHMFON-UHFFFAOYSA-N
09L,InChIKey=FDLYAMZZIXQODN-UHFFFAOYSA-N
09M,InChIKey=ZKPXUQQBRMXHLJ-UHFFFAOYSA-N
